time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.695975559703392e-08,3.5565840427867143e-07,10.004546742412922,0.00030647680927664567,6.283085879004556,0.0,7.4361747355462435e-06,3.038439743618016e-05,0.15154928667489564,0.013749024682926388,-0.005196729393920074,0.0,453.5665324837533,453.14909361255934,452.009868269795,453.116252439078
0.12000000000000001,3.2024822070268774e-06,1.2074153319883851e-05,10.017209561249546,0.0012837726520915638,9.957978798880163e-05,0.0,9.890145563340737e-05,0.00045513069364372914,0.2705232040588682,0.02093604977646321,0.0164425349406898,0.0,441.74571838693606,443.5261869395724,442.8991837562466,443.4897055706834
0.18,2.0781512256229896e-06,7.467733549889574e-05,10.038333300443659,0.0032761658727293863,0.0016005693016385436,0.0,-0.00027925022062460017,0.0018205197146029459,0.4335526556358741,0.05047350009392196,0.038213069491319064,0.0,455.78852710811515,457.52492023137273,455.28324356100245,457.640371536245
0.23999999999999996,-6.199026367859347e-05,0.0002739158840972495,10.07008782746405,0.005822476078924055,0.0037903508820180676,0.0,-0.002115400165796121,0.005153184649673195,0.6248440755124625,0.01708333776562152,0.03282152503063468,0.0,465.356803653737,464.9351852666012,466.5449241102465,463.93177345009246
0.3,-0.00029282609832698505,0.0007334816732193243,10.114950144811461,0.006623240739235037,0.005458837275259754,0.0,-0.005806427599038374,0.010279144769849551,0.8704101812502358,0.004566006292977155,0.015193331090869368,0.0,482.69016160368784,481.3583133658223,481.082880325993,480.13417115332896
0.36000000000000004,-0.0007843176421197272,0.0015168807555335979,10.174427289528229,0.007202808348887757,0.007814610772523878,0.0,-0.010802714254367667,0.015887175209567058,1.1119561059720728,0.01827937793124655,0.06593752712578069,0.0,479.1741384269376,483.01628931377786,479.40119359851593,480.4418091540747
0.4200000000000001,-0.001593624478412113,0.0026099761123689973,10.242345870007698,0.008514515073637874,0.011670381623642534,0.0,-0.016537791049993276,0.020661908043619167,1.1519526210972102,0.028204921829343706,0.06068529971901934,0.0,419.41754782658626,418.96448192809385,417.79085728007766,418.655313567849
0.48000000000000015,-0.0028722459264744257,0.004054807861835513,10.317007788689306,0.010456656555291488,0.015150936228381262,0.0,-0.026489010841091933,0.02770669046179144,1.3365730198711674,0.0396115311139984,0.05203615747472363,0.0,463.6330776805518,462.9552787213157,464.90177326127736,465.794900487677
0.5400000000000001,-0.004753042741952827,0.0059200222810525515,10.398076424192746,0.013549044185381831,0.018061894915266663,0.0,-0.03648077981733452,0.03472325325500712,1.3656726052030645,0.06845614401183561,0.040337862788787315,0.0,415.6232059238318,414.5983606805718,414.9269695466547,417.4530981420482
0.6000000000000002,-0.007332131578140964,0.008304830910510744,10.483422678504551,0.017647317867004908,0.020729327223113714,0.0,-0.04975191671098861,0.04519485794779866,1.4790504873123291,0.06799981826216661,0.051630858199544626,0.0,442.2339450939524,443.16420245359564,443.3977852273684,443.3638289063722
0.6600000000000003,-0.010707911543708589,0.011353765488591763,10.5728365670673,0.021527332760308937,0.023910199504714846,0.0,-0.06305780218918958,0.0567966958316088,1.5013693951431193,0.05699555753890485,0.05564649118606051,0.0,413.9640372294247,414.31927622631514,413.9944439781913,413.0285278713176
0.7200000000000003,-0.015034243305955586,0.015252482263030063,10.667384662828464,0.025406797364396105,0.02694077272347961,0.0,-0.08149918915651429,0.0735577690972913,1.650011679800111,0.07673036899380281,0.03749393278266777,0.0,454.9498454420852,453.4957203149854,453.79268558651523,455.3768120015785
0.7800000000000004,-0.02064840933265592,0.02036077261700384,10.775181621495442,0.03006592559235166,0.029203507897547,0.0,-0.1059220323380516,0.09731085867271262,1.9427433813016686,0.07943370734648222,0.03814525595858005,0.0,496.5201155935784,496.5684072416897,497.40796458229875,497.609969606625
0.8400000000000004,-0.027696214166411836,0.026922284551467078,10.897443257566438,0.03468738667988358,0.03132018595820618,0.0,-0.12924985808041317,0.12193681781452885,2.132282612351034,0.0717117722252803,0.028820076722255304,0.0,469.35241641987176,468.62863309766084,467.78650330652016,467.1892103187464
0.9000000000000005,-0.03606140998558004,0.034922172298548625,11.02698653742643,0.03872811704578005,0.03285551347768756,0.0,-0.1497433329365675,0.1451204829623255,2.1857031280276358,0.05675340232670852,0.01818456564957632,0.0,426.63751608147453,425.72866242513777,427.7013841869077,426.42909176311224
0.9600000000000005,-0.04576504902151442,0.0444845088075481,11.162190824416385,0.04208314316041761,0.03386589566110576,0.0,-0.17381582677002858,0.17397524546046939,2.320819158605446,0.0541904532844256,0.014004527768679643,0.0,452.64416038394734,452.3075718683043,453.2081892393767,453.00420762448647
1.0200000000000005,-0.056961704197370185,0.05588540694338239,11.30630300417401,0.04588184934785211,0.034257816266287655,0.0,-0.19947185417539373,0.20643593776319766,2.482557551174976,0.07715331097163729,-0.015832749594788167,0.0,462.5536260335703,460.1979543164302,460.7542131358216,462.56863053131804
1.0800000000000005,-0.06970656896654337,0.06933462219796484,11.460335655099101,0.05016558921438907,0.03303986098141909,0.0,-0.2252255042915767,0.2423568495309012,2.6514612280426575,0.05624466715630747,-0.03119901800422324,0.0,465.47280335159,464.2687643058648,464.8207857386251,463.1829493398529
1.1400000000000006,-0.08395269382633523,0.08501249843871465,11.624113710597806,0.05419143709213525,0.030862114356062342,0.0,-0.2494138651597266,0.28063376214013447,2.8074159010171957,0.08288168233348055,-0.0491810871530883,0.0,462.4380790173216,461.0188420340187,459.9431189718971,462.0508872065736
